"","fecha_lista","dia_semana","num_lista","horario_audiencia","expediente","anio","notificacion","entrega_actor","entrega_ra","entrega_dem","entrega_rd","p_actor","p_r.actor","p_demandado","p_r.demandado","se_concilio","cantidad_convenio","pago_convenio","se_desistio","cantidad_desistimiento","capturista_seguimiento","count_placebo","placebo","count_partes","partes"
"116","31-07-2017","Lunes","16","10:00",1449,2012,3,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,"GAMA",0,0,0,0
"117","31-07-2017","Lunes","17","10:00",1711,2012,3,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,"GAMA",0,0,0,0
"118","31-07-2017","Lunes","18","10:00",1779,2013,3,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,"GAMA",0,0,0,0
"119","31-07-2017","Lunes","19","10:00",2048,2013,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"120","31-07-2017","Lunes","20","10:00",875,2014,1,0,1,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",1,1,2,1
"121","31-07-2017","Lunes","21","10:00",1018,2015,1,0,0,0,0,0,1,0,1,0,NA,NA,0,NA,"GAMA",0,0,2,1
"122","31-07-2017","Lunes","22","10:00",1251,2015,1,1,0,0,0,1,1,0,1,1,16000,16000,0,NA,"GAMA",1,1,3,1
"123","31-07-2017","Lunes","23","10:00",1899,2015,3,1,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",1,1,1,1
"124","31-07-2017","Lunes","24","10:00",7,2016,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAMA",0,0,NA,NA
"125","31-07-2017","Lunes","25","10:00",862,2016,3,0,0,0,1,0,0,0,1,0,NA,NA,0,NA,"GAMA",1,1,1,1
"126","31-07-2017","Lunes","26","10:00",1269,2016,3,1,1,0,1,0,1,0,0,0,NA,NA,0,NA,"GAMA",3,1,1,1
"127","31-07-2017","Lunes","27","10:00",50,2017,3,0,1,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",1,1,1,1
"128","31-07-2017","Lunes","28","10:30",199,2016,1,1,1,0,1,0,1,0,1,0,NA,NA,0,NA,"GAMA",3,1,2,1
"129","31-07-2017","Lunes","29","10:30",622,2016,1,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"130","31-07-2017","Lunes","30","10:30",828,2016,2,0,0,0,1,0,1,0,0,0,NA,NA,0,NA,"GAMA",1,1,1,1
"131","31-07-2017","Lunes","31","11:00",468,2014,3,1,1,0,1,0,1,0,1,0,NA,NA,0,NA,"GAMA",3,1,2,1
"132","31-07-2017","Lunes","32","11:00",250,2015,3,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,"GAMA",0,0,0,0
"133","31-07-2017","Lunes","33","11:00",1575,2015,3,0,1,0,1,0,1,0,1,0,NA,NA,0,NA,"GAMA",2,1,2,1
"134","31-07-2017","Lunes","34","11:00",1929,2015,3,0,1,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",1,1,1,1
"135","31-07-2017","Lunes","35","11:00",2157,2015,1,0,1,0,1,0,0,0,1,0,NA,NA,0,NA,"GAMA",2,1,1,1
"136","31-07-2017","Lunes","36","11:00",416,2016,3,0,0,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",0,0,1,1
"137","31-07-2017","Lunes","37","11:00",814,2016,1,1,1,0,1,1,1,0,1,0,NA,NA,0,NA,"GAMA",3,1,3,1
"138","31-07-2017","Lunes","38","11:00",1279,2016,2,0,1,0,0,0,1,0,0,0,NA,NA,0,NA,"GAMA",1,1,1,1
"139","31-07-2017","Lunes","39","11:00",1286,2016,1,1,1,0,0,2,1,0,2,0,NA,NA,0,NA,"GAMA",2,1,5,1
