
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio"

="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="2.treatment#1.p_actor#0.interaction",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0",="",="",="0"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"

="2.treatment#1.p_actor#1.interaction",="",="",="-0.24**",="",="",="-0.13",="",="",="-0.13",="",="",="-0.17",="",="",="-0.27**",="",="",="-0.13"
="",="",="",="(0.10)",="",="",="(0.093)",="",="",="(0.13)",="",="",="(0.11)",="",="",="(0.11)",="",="",="(0.13)"

="_cons",="0.051***",="0.076",="0.081**",="0.051***",="0.096**",="0.069*",="0.069***",="0.10**",="0.10***",="0.075***",="0.084*",="0.087***",="0.064***",="0.11***",="0.096***",="0.053***",="0.055",="0.066*"
="",="(0.017)",="(0.045)",="(0.035)",="(0.018)",="(0.042)",="(0.036)",="(0.022)",="(0.044)",="(0.032)",="(0.021)",="(0.043)",="(0.031)",="(0.016)",="(0.028)",="(0.027)",="(0.020)",="(0.042)",="(0.034)"

="N",="540",="1073",="1613",="538",="1047",="1585",="536",="1080",="1616",="548",="1087",="1635",="548",="1087",="1635",="530",="1087",="1617"
="R-squared",="0.013",="0.060",="0.13",="0.010",="0.053",="0.14",="0.0090",="0.053",="0.13",="0.012",="0.051",="0.13",="0.015",="0.049",="0.13",="0.011",="0.064",="0.14"
="DepVarMean",="0.10",="0.21",="",="0.097",="0.21",="",="0.10",="0.20",="",="0.10",="0.20",="",="0.10",="0.20",="",="0.096",="0.20",=""
="InteractionVarMean",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Pvalue",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="Pvalue_",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
