
="",="",="(0.137)",="(0.155)",="(0.395)",="(0.427)",="(0.122)",="(0.435)"

="_cons",="-2.123***",="0.0633",="0.0394",="-1.886***",="-1.940***",="-0.00380",="-2.179***"
="",="(0.471)",="(0.0505)",="(0.0496)",="(0.457)",="(0.491)",="(0.0552)",="(0.443)"

="N",="1700",="1723",="1401",="1700",="1348",="1732",="1732"
="R-sq",="",="0.080",="0.101",="",="",="0.037",=""
="Control Mean",="0.116",="",="",="",="",="0.174",=""
="rsq",="0.149",="",="",="0.0870",="0.119",="0.119",="0.0427"
="pval",="",="0.0323",="0.191",="0.0331",="0.202",="0.0670",="0.0844"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
