reclutamiento,giro_empresa_d2,giro_empresa_d3,giro_empresa_d4,giro_empresa_d5,giro_empresa_d6,giro_empresa_d7,giro_empresa_d8,giro_empresa_d9,giro_empresa_d10,giro_empresa_d11,giro_empresa_d12,giro_empresa_d13,giro_empresa_d14,giro_empresa_d15,giro_empresa_d16,giro_empresa_d17,giro_empresa_d18,giro_empresa_d19,giro_empresa_d20,giro_empresa_d21,giro_empresa_d22,giro_empresa_d23,giro_empresa_d24,trabajador_base,gen,tipo_jornada_d2,tipo_jornada_d3,tipo_jornada_d4,reinst,indem,sal_caidos,prima_antig,prima_vac,hextra,rec20,prima_dom,desc_sem,desc_ob,sarimssinf,utilidades,monto_recsueldo,nulidad,vac,ag,codem,horas_extra,antiguedad,salario_diario,horas_sem,c_antiguedad,c_indem,c_prima_antig,c_rec20,c_ag,c_vac,c_hextra,c_prima_vac,c_prima_dom,c_desc_sem,c_desc_ob,c_utilidades,c_recsueldo,c_total,min_indem,min_prima_antig,min_ag,min_vac,min_prima_vac,min_ley,c_sal_caidos,prop_hextra,modo_termino,liq_total,liq_total_tope,liq_total_pos,duracion
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,15000,1,1,1,0,0,12.297,200,48,12.31,18000,16975.42,0,36928.77,31764.381,0,7941.1001,0,0,34466.852,0,15000,161076.52,18000,16975.42,2868.49,964.38,241.10001,39049.391,76540,0,1,25819.779,25819.779,1,.16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,6875,1,1,1,0,0,5.6170001,125,48,5.6199999,11250,7756.6299,0,10546.23,7338.3599,0,1834.59,0,0,9843.1504,0,6875,55443.961,11250,7756.6299,1772.26,1088.36,272.09,22139.33,48812.5,0,1,14875,14875,1,.23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,9350,1,1,1,0,0,3.194,170,48,3.2,15300,4412.9302,0,8160,4482.4102,0,1120.6,0,0,7616,0,9350,50441.941,15300,4412.9302,2410.27,402.41,100.6,22626.221,69292,0,1,30000,30000,1,.38999999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,6875,1,1,1,0,0,12.153,125,48,12.16,11250,16775.17,0,22808.221,19562.33,0,4890.5801,0,0,21287.67,0,6875,103448.97,11250,16775.17,1772.26,312.32999,78.080002,30187.84,48812.5,0,1,21527,21527,1,.23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,6875,1,1,1,0,0,8.5559998,125,48,8.5699997,11250,11814.41,0,16063.36,12482.88,0,3120.72,0,0,14992.47,0,6875,76598.82,11250,11814.41,1772.26,982.88,245.72,26065.26,48737.5,0,1,17484,17484,1,.23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,6875,1,1,1,0,0,6.0830002,125,48,6.0900002,11250,8395.1396,0,11414.38,8148.6299,0,2037.16,0,0,10653.42,0,6875,58773.738,11250,8395.1396,1772.26,148.63,37.16,21603.189,48812.5,0,1,15248,15248,1,.23
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,12845.52,0,1,1,0,1,6.842,506.67,60,6.8499999,45600,9441.7002,0,6041.1001,11046.58,561600,2761.6399,38250,0,0,0,12845.52,687586.56,45600,9441.7002,6041.1001,5046.5801,1261.64,67391.023,396517.34,.8167699,4,0,0,0,3.8099999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,600,1,1,1,0,1,4.4749999,100,54,4.48,9000,5378.6299,0,6723.29,4271.23,40775,1067.8101,0,0,6275.0698,0,600,74091.031,9000,5378.6299,1401.37,671.22998,167.81,16619.039,38270,.55033654,1,14535,14535,1,.16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,240,1,1,0,0,1,.67799997,60,66,.68000001,5400,491.17999,0,0,245.59,13781.25,61.400002,525,0,0,0,240,20744.41,5400,491.17999,613.96997,245.59,61.400002,6812.1401,24852,.66433561,1,6000,6000,1,.44999999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,4666.6001,1,1,1,0,1,.186,233.33,60,.19,20999.699,275.34,0,632.88,268.48999,10500,67.120003,0,0,626.47998,0,4666.6001,38036.609,20999.699,275.34,671.22998,272.32999,68.080002,22286.68,109315.11,.27604982,3,124411.96,124411.96,1,.94999999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,4747.6602,0,1,1,0,1,.96899998,206.42,72,.97000003,18577.801,1337.48,4003.98,2493.8101,997.52002,56247.191,249.38,0,0,0,0,4747.6602,88654.82,18577.801,1337.48,2493.8101,997.52002,249.38,23655.99,84508.352,.63445157,2,0,0,0,.41
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,3300,0,1,1,0,1,.76099998,157.14,54,.75999999,14142.86,1050.34,0,1795.3,718.12,11440,179.53,0,0,0,0,3300,32626.15,14142.86,1050.34,1795.3,718.12,179.53,17886.15,66314.289,.35063899,1,5500,5500,1,.51999998
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,731.66998,0,1,1,0,1,.050000001,243.89,48,.050000001,21950.1,71.790001,253.91,190.42999,76.169998,1422.6899,19.040001,121.95,0,0,0,731.66998,24837.76,21950.1,71.790001,190.42999,76.169998,19.040001,22307.539,97434.063,.057279319,1,15000,15000,1,.31999999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,48000,0,1,1,0,1,2.506,483.59,35,2.51,43523.102,0,0,1891.98,959.76001,40019.531,239.94,1633.45,0,0,0,48000,136267.75,43523.102,1513.58,708.46002,256.12,64.029999,46065.289,198416.98,.29368305,1,15000,15000,1,.41
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,2200,0,1,1,0,1,20.132999,314.29,78,20.15,28285.711,27784.82,0,9273.5801,93872.406,1158300,23468.1,82500,0,0,0,2200,1425684.6,28285.711,27784.82,4559.2998,843.84003,210.96001,61684.629,123388.57,.81245178,2,0,0,0,.25
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,7233.23,0,1,1,0,1,13.039,233.33,72,13.05,20999.699,17995.529,0,45672.602,39820.09,477750,9955.0195,39666.672,317333.34,42627.762,0,7233.23,1019053.9,20999.699,17995.529,287.67001,153.42,38.360001,39474.68,98395.258,.46881717,1,16872.721,16872.721,1,.51999998
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,9448.4004,0,1,1,0,1,1.944,472.42,66,1.95,42517.801,2796.6299,0,5843.8398,2716.71,132562.5,679.17999,5050,0,5454.25,0,9448.4004,207069.3,42517.801,2796.6299,32.880001,1521.1,380.26999,47248.672,197802.25,.64018422,1,9000,9000,1,.49000001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1324.96,0,1,1,0,1,.88300002,189.28,55,.88,17035.199,1216.58,0,1890.41,756.15997,25875,189.03999,0,0,0,0,1324.96,48287.352,17035.199,1216.58,1890.41,756.15997,189.03999,21087.391,77036.961,.53585464,1,7500,7500,1,.38
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,,0,1,1,0,1,2.806,400,60,2.8099999,36000,3872.6499,0,5490.4102,3221.9199,70200,805.47998,0,0,0,0,0,119590.45,36000,3872.6499,5490.4102,3221.9199,805.47998,49390.449,221360,.58700341,1,17000,17000,1,1.72
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,692.58002,0,1,1,0,1,.917,98.94,52.5,.92000002,8904.5996,1089.7,0,1362.12,544.84998,7750.2998,136.21001,0,0,0,0,692.58002,20480.35,8904.5996,1089.7,1362.12,544.84998,136.21001,12037.47,49707.461,.37842616,3,0,0,0,1.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,0,1,1,0,0,.028000001,222.71,49,.029999999,20043.9,0,0,109.83,43.93,0,10.98,0,0,0,0,0,20208.65,20043.9,45.34,109.83,47.59,11.9,20258.561,122512.77,0,1,11000,11000,1,1.6900001
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,960,1,1,1,1,1,.31400001,160,70,.31999999,14400,434.48999,0,756.15997,302.47,10752,75.620003,7800,0,705.75,0,960,36186.488,14400,434.48999,756.15997,302.47,75.620003,15968.74,66944,.29712746,2,0,0,0,.49000001
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,,1,1,1,1,1,1.397,214.29,70,1.4,19285.711,1930.66,0,3000,1314.29,92466.672,328.57001,0,0,0,2000,0,120325.89,19285.711,1930.66,2101.76,457.14001,114.29,23889.561,86250,.76846862,3,0,0,0,.34
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,,0,1,1,0,0,.43900001,110.27,48,.44,9924,0,0,734.09998,293.64001,0,73.410004,0,0,0,0,0,11025.16,9924,587.28003,734.09998,293.64001,73.410004,11612.44,54769.449,0,1,6200,6200,1,1.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,,0,1,0,0,1,.63300002,565.27,69,.63999999,50874,880.32001,7216.8301,0,2165.05,147986.81,541.26001,4663.4502,0,5051.7798,40000,0,259379.5,50874,880.32001,5412.6201,2165.05,541.26001,59873.25,312309.84,.57054168,1,52000,52000,1,1.71
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,4614.29,0,1,1,0,1,1.339,242.86,60,1.34,21857.141,1927.35,0,4890.4102,2122.5,81812.5,530.63,0,0,0,0,4614.29,117754.82,21857.141,1927.35,39.919998,670.67999,167.67,24662.77,136145.7,.69476986,2,0,0,0,1.79
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,7000,1,1,1,0,1,.093999997,233.33,72,.1,21000,136.00999,0,345.20999,138.08,8166.6699,0,291.67001,0,322.19,0,7000,37399.828,21000,136.00999,345.20999,141.92,35.48,21658.619,94266.672,.21836115,1,8000,8000,1,.36000001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,102000,0,0,0,0,1,4.9920001,2081.27,70,5,187314.3,0,0,0,0,500696.78,0,15058.55,0,0,0,102000,805069.63,187314.3,6891.4199,3332.24,3234.49,808.62,201581.08,893281.06,.62192976,1,98798.758,98798.758,1,.58999997
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,,1,1,1,0,1,.167,233.33,60,.17,21000,234.25,0,594.52002,237.81,7840,59.450001,0,0,0,0,0,29966.029,21000,234.25,594.52002,237.81,59.450001,22126.029,206826.67,.26162958,4,0,0,0,4.7600002
