coef_m1,std_m1,coef_m2,std_m2,coef_m3,std_m3,coef_m4,std_m4,coef_m5,std_m5,coef_m6,std_m6,coef_m7,std_m7,coef_m8,std_m8,coef_m9,std_m9,coef_m10,std_m10,coef_m11,std_m11,coef_m12,std_m12,coef_m13,std_m13,coef_m14,std_m14,coef_m15,std_m15,feature,imp_mean_m1,imp_std_m1,imp_mean_m2,imp_std_m2,imp_mean_m3,imp_std_m3,imp_mean_m4,imp_std_m4,imp_mean_m5,imp_std_m5,imp_mean_m6,imp_std_m6,imp_mean_m7,imp_std_m7,imp_mean_m8,imp_std_m8,imp_mean_m9,imp_std_m9,imp_mean_m10,imp_std_m10,imp_mean_m11,imp_std_m11,imp_mean_m12,imp_std_m12,imp_mean_m13,imp_std_m13,imp_mean_m14,imp_std_m14,imp_mean_m15,imp_std_m15
0.4054,0.063,0.0469,0.022,0.0114,0.011,0.074,0.012,0.2544,0.039,0.1368,0.201,2.3753,0.43,0.002,0.988,0.5143,0.113,1.2787,0.863,0.0,0.0,1.0222,1.044,0.3466,0.15,2.38,0.43,6.6256,10.111,giro_empresa_d21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.778574343777819e-06,0.0,0.0002884668877527474,0.0,1.4382067466733872e-05,0.0,0.003961661398307115,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,3.9291887316661445e-05,0.0,6.594391108905029e-05,0.0,4.076756709991969e-10,0.0
0.4054,0.014,0.0727,0.005,0.0202,0.003,0.075,0.003,0.2418,0.009,0.183,0.03,2.3408,0.109,0.8065,0.157,0.5011,0.029,0.8868,0.143,1.1756,0.278,1.0612,0.142,0.3644,0.032,2.332,0.109,9.8491,1.204,giro_empresa_d22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002000800320127727,0.0,0.0,0.0,0.0016353952937170346,0.0,0.007277050808511376,0.0,7.00458434410578e-06,0.0,2.0050397928932853,0.0,0.009862459739539586,0.0,9.701676260132075e-05,0.0,0.0003856351909332645,0.0,0.03930518817452189,0.0,3.219363331474767e-08,0.0
0.4054,0.031,0.0586,0.011,0.0136,0.006,0.0739,0.006,0.2406,0.019,0.168,0.075,2.3803,0.246,0.7737,0.402,0.591,0.065,1.256,0.346,1.2508,0.869,1.0116,0.345,0.4099,0.055,2.3853,0.246,9.6142,2.996,giro_empresa_d23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001151648135212513,0.0,0.0001389660810247051,0.0,0.00021795810692726292,0.0,0.004080244274746292,0.0,0.0010768954085421667,0.0,1.1811694323848876e-05,0.0,0.000407698630226605,0.0,4.249896236807604e-05,0.0,3.721265517953043e-10,0.0
0.4054,0.112,0.0335,0.039,0.0086,0.02,0.0739,0.021,0.2403,0.069,0.0,0.0,2.4217,0.747,0.0,0.0,0.801,0.197,0.0,0.0,0.0,0.0,1.0989,0.737,0.2041,0.426,2.4542,0.748,0.0,0.0,giro_empresa_d24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.357772780345549e-05,0.0,0.0,0.0,0.001209073800773286,0.0,-7.0954229158815e-09,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,3.5742399995264407e-06,0.0,0.0031145149207687517,0.0,0.0,0.0
0.4054,0.021,0.0657,0.007,0.0242,0.004,0.0746,0.004,0.2767,0.013,0.221,0.05,2.4205,0.153,0.8307,0.26,0.5747,0.041,1.2835,0.245,1.3797,0.417,0.8363,0.23,0.4219,0.048,2.4252,0.153,10.0527,2.18,trabajador_base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002000800320127727,0.0,0.0,0.0,0.0001842442984503201,0.0,-0.0019048964988144235,0.0,0.0005047844209811192,0.0,-0.024401748132731882,0.0,-0.0020288378891897274,0.0,0.00018316213564550932,0.0,0.0003570627029081397,0.0,0.0015500532719682214,0.0,1.6233565602874478e-09,0.0
0.4054,0.006,0.0573,0.003,0.0168,0.001,0.0749,0.001,0.2361,0.004,0.181,0.018,2.3581,0.042,0.828,0.097,0.5292,0.013,1.1766,0.074,1.2356,0.144,0.9794,0.061,0.3902,0.016,2.3604,0.042,9.8384,0.673,gen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004001600640255454,0.0,0.0,0.0,0.00041678445796256014,0.0,-0.001330288143194025,0.0,0.0002297056612028392,0.0,-0.30423397731397017,0.0,0.00019268172116115867,0.0,0.0001264774300886451,0.0,0.002072758969882571,0.0,0.003415204061549715,0.0,2.768023987798074e-08,0.0
0.4054,0.028,0.0412,0.01,0.0107,0.005,0.075,0.005,0.2381,0.017,0.142,0.1,2.3375,0.202,0.8742,0.528,0.4771,0.053,0.9603,0.459,1.0652,1.234,1.0121,0.249,0.4033,0.061,2.3355,0.202,9.7013,4.093,tipo_jornada_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029783255592619184,0.0,-0.00011483965595004975,0.0,2.795537012989513e-07,0.0,0.0006925175746346213,0.0,0.0034247478714156676,0.0,1.863419012837486e-05,0.0,0.00030491732243342895,0.0,0.0006010040422581575,0.0,-8.053318012457567e-10,0.0
0.4054,0.016,0.0596,0.006,0.0219,0.003,0.0751,0.003,0.2378,0.01,0.2211,0.038,2.3525,0.121,1.1361,0.192,0.4654,0.033,1.1534,0.19,1.1793,0.286,0.8579,0.129,0.3515,0.041,2.3536,0.121,10.3209,1.57,tipo_jornada_d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010248982685912011,0.0,-0.007508830094423047,0.0,3.627910098846776e-05,0.0,-0.20094191595421762,0.0,0.0001832602858548027,0.0,0.00013506760307668841,0.0,0.0003244544131300042,0.0,0.00016659323660350722,0.0,4.5890091726619175e-09,0.0
0.4055,0.061,0.041,0.021,0.0178,0.011,0.0764,0.011,0.2473,0.037,0.2816,0.201,2.3337,0.445,1.5794,0.988,0.6333,0.117,1.3029,1.22,0.6909,1.237,1.1428,0.425,0.54,0.149,2.3307,0.446,10.1468,7.134,tipo_jornada_d4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8048355111720547e-05,0.0,-0.00012025120611269813,0.0,-2.782436020476453e-07,0.0,-0.0008256211608568265,0.0,-3.3414901444706047e-06,0.0,0.0,0.0,0.00014384407148182454,0.0,0.00026751493886190136,0.0,-1.253177561721941e-10,0.0
0.4054,0.009,0.052,0.004,0.0226,0.002,0.0746,0.002,0.2525,0.006,0.2566,0.024,2.3951,0.066,0.992,0.126,0.5607,0.018,1.2751,0.124,1.308,0.157,1.0367,0.077,0.389,0.021,2.4002,0.066,10.0985,0.965,reinst,-0.0002000800320127727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004001600640255454,0.0,0.0,0.0,0.0008970685883953333,0.0,0.016925159219681518,0.0,0.00038941101217870866,0.0,0.003497715543517188,0.0,0.030069229037647527,0.0,0.0003633190484473303,0.0,0.0010368710829813388,0.0,0.005343062590851266,0.0,8.157851905110647e-08,0.0
