"d.convenio.df.tipo_de_abogado","d.convenio.df.giro_empresa","d.convenio.df.trab_base","d.convenio.df.acci_on_principal","d.convenio.df.causa","d.convenio.df.sueldo_diario_integrado","d.convenio.df.gen","d.convenio.df.horas","d.convenio.df.reinstalacion_t","d.convenio.df.indem_const_t","d.convenio.df.sal_caidos_t","d.convenio.df.rec_hr_extra","d.convenio.df.rec_20_d_ias_t","d.convenio.df.sarimssinfo","d.convenio.df.cod_imss","d.convenio.df.antig_anos","d.convenio.df.y","d.convenio.df.id"
"0","1","0","2","0",79,"1",46,"0","1","1","1","0","1","1",2.56164383561644,0.904109589041096,133
"1","1","0","2","0",133.59,"1",86.5,"0","1","1","0","0","0","1",21.7123287671233,0.0164383561643836,134
"0","1","0","1","0",240.46,"1",54,"1","1","1","0","1","1","1",2.84109589041096,0.282191780821918,136
"0","3","1","2","0",460,"1",50,"0","1","1","1","0","0","1",1.42191780821918,1.03561643835616,138
"0","3","0","2","0",280,"0",60,"0","1","1","1","0","0","1",0.265753424657534,0.29041095890411,143
"0","7","0","2","0",154.33,"0",54,"0","1","1","1","0","0","1",7.8958904109589,0.863013698630137,144
"0","5","0","2","0",308.571428571429,"0",60,"0","1","1","1","0","1","1",6.14794520547945,1.24383561643836,145
"0","2","0","2","0",313.95,"0",60,"0","1","1","1","0","1","1",3.45753424657534,0.621917808219178,147
"0","2","0","1","0",588,"1",54,"1","1","1","1","1","1","1",6.0027397260274,0.961643835616438,148
"1","3","0","2","0",182.06,"0",50,"0","1","1","0","0","0","1",0.23013698630137,0.063013698630137,149
"0","1","0","1","0",435,"1",55,"1","0","0","1","0","1","1",1.21643835616438,0.619178082191781,151
"0","3","0","2","0",628.628571428571,"0",60,"0","1","1","1","0","1","1",1.75068493150685,0.30958904109589,152
"0","1","0","2","0",406,"0",60,"0","1","1","1","0","0","1",25.0027397260274,1.12328767123288,153
"1","1","0","2","0",154.7,"1",48,"0","1","1","0","0","0","1",5.04657534246575,2.53424657534247,154
"0","3","0","2","0",3500,"0",60,"0","1","1","1","0","0","1",1.1013698630137,0.605479452054794,157
"1","3","0","2","0",260.13,"1",45,"0","1","1","0","0","0","1",0.0438356164383562,1.22739726027397,159
"0","1","0","2","0",94.19,"1",48,"0","1","1","0","0","1","1",1.01643835616438,1.29315068493151,161
"0","1","1","2","0",666.666666666667,"0",50,"0","1","1","1","0","1","1",3.13150684931507,1.13424657534247,167
"0","8","0","2","1",220,"1",30,"0","1","0","0","0","1","1",0.0602739726027397,0.619178082191781,168
"0","7","0","2","0",272.586666666667,"0",60,"0","1","1","1","1","0","1",27.3534246575342,2.67123287671233,171
"0","5","0","2","0",200,"0",56,"0","1","1","1","0","0","1",1.16712328767123,1.72054794520548,172
"0","3","0","2","0",526.11,"0",42,"0","1","1","1","0","1","1",0.923287671232877,0.30958904109589,173
"0","2","1","1","0",1666.66,"0",50,"1","0","1","1","0","1","1",7.33424657534247,0.361643835616438,179
"0","3","0","2","0",324.94,"0",48,"0","1","1","0","0","0","1",7.96712328767123,0.652054794520548,180
"0","3","0","1","0",175,"1",51,"1","0","1","1","0","1","1",3.3041095890411,0.304109589041096,181
"0","3","0","1","0",290.36,"0",55,"1","0","1","1","0","1","1",4.34246575342466,1.73698630136986,184
"0","4","1","1","0",266.66,"0",47.5,"1","1","1","0","1","0","1",9.60547945205479,0.252054794520548,186
"0","3","0","2","0",191.11,"0",54,"0","1","1","0","0","0","1",0.536986301369863,0.208219178082192,187
"0","1","0","1","0",380,"1",66,"1","1","1","1","1","1","1",16.5315068493151,0.282191780821918,189
"0","3","0","1","0",695.85,"0",72,"1","1","1","0","1","1","1",6.64931506849315,1.15342465753425,195
"0","1","0","1","0",300,"1",42,"1","0","1","0","0","0","1",2.63287671232877,1.55342465753425,196
"0","1","0","2","0",150,"0",54,"0","1","1","1","0","1","1",4.38356164383562,1.28493150684932,198
"1","6","0","2","0",532.05,"0",50,"0","1","1","0","0","0","1",5.08767123287671,1.54520547945205,201
"0","5","0","1","0",500,"0",66,"1","0","1","1","0","0","1",7.41095890410959,1.55068493150685,202
"0","1","0","2","0",113.19,"1",66,"0","1","1","1","0","0","1",0.416438356164384,1.26027397260274,203
"0","7","0","1","0",153.333333333333,"0",54,"1","0","1","1","0","1","1",0.947945205479452,0.69041095890411,205
"0","1","0","1","0",942.09,"0",72,"1","0","1","1","0","1","1",0.646575342465753,0.457534246575342,206
"0","5","0","2","0",193.25,"1",51,"0","1","1","1","0","1","1",1.47945205479452,0.243835616438356,207
"0","1","0","2","0",86.6666666666667,"0",54,"0","1","1","1","0","0","1",1.51780821917808,0.956164383561644,208
"0","1","1","2","0",600,"1",60,"0","1","1","1","0","1","1",2.08767123287671,0.978082191780822,212
"0","7","0","2","0",251.820666666667,"1",46.5,"0","1","1","1","0","1","1",0.520547945205479,0.649315068493151,213
"1","3","0","2","0",189.88,"1",54,"0","1","1","1","0","0","1",0.158904109589041,2.43013698630137,217
"0","7","0","1","0",153.333333333333,"0",54,"1","0","1","1","0","1","1",1.41095890410959,0.673972602739726,219
