"lt_convenio_train.id","lt_convenio_train.antig_anos","lt_convenio_train.horas","lt_convenio_train.sueldo_diario_integrado","lt_convenio_train.tipo_de_abogado","lt_convenio_train.trab_base","lt_convenio_train.gen","lt_convenio_train.reinstalacion_t","lt_convenio_train.indem_const_t","lt_convenio_train.sal_caidos_t","lt_convenio_train.rec_hr_extra","lt_convenio_train.rec_20_d_ias_t","lt_convenio_train.sarimssinfo","lt_convenio_train.cod_imss","lt_convenio_train.y"
1141,-0.213665599794342,-1.05155130532344,-0.494687776507268,"0","0","0","0","1","1","0","0","1","0",20000
1350,0.117962863482692,0.127308610644889,0.511444222179164,"0","0","1","1","1","1","1","1","1","0",70015.3
1221,-0.715344424715257,-0.658598000000665,-0.67987338004407,"0","0","0","0","1","1","1","0","1","0",6500
1271,0.658977181310554,-1.16943729692028,-0.506493912264443,"0","0","1","0","1","1","0","0","0","0",7000
1191,-0.465412754398806,-0.226349364145611,-0.577239265458826,"0","0","0","0","1","1","1","0","1","0",20000
1101,-0.441811458654638,1.07039654341955,-0.259311995711219,"0","0","0","1","0","1","0","0","0","0",3500
2010,-0.525928897332571,-0.0298727114842223,-0.632032235089769,"0","0","1","0","1","1","1","0","0","0",8000
408,-0.686901837536387,0.127308610644889,0.596301299295051,"0","1","0","1","1","1","1","1","1","0",38000
838,-0.0417997538624486,0.127308610644889,0.686226859482933,"0","0","1","0","1","1","1","0","1","0",25000
1781,-0.557397291658129,-0.344235355742444,-0.0427810636302223,"0","0","0","0","1","1","0","0","0","0",17000
1238,0.485295851090648,-1.44450461064622,-0.540079281673088,"1","0","0","0","1","1","0","0","0","0",22000
1642,-0.735919913312737,-0.815779322129776,-0.532796671785431,"0","0","1","0","1","1","0","0","0","0",4000
296,2.86418542981696,1.07039654341955,-0.219351008122537,"1","0","0","0","1","1","0","0","0","0",70000.06
1126,-0.558002453087467,-0.972960644258887,-0.354955160487335,"0","0","1","0","1","1","0","1","0","0",20000
815,0.150641580666925,2.01348447619422,-0.906263845511433,"0","0","0","0","1","1","1","0","1","0",20000
1409,-0.236661734109173,0.598852577032221,-0.53618455257566,"0","0","0","0","1","1","1","1","1","0",12000
1772,-0.45149404152404,0.598852577032221,-0.332778324028463,"0","0","0","0","1","1","1","0","1","0",9000
1474,0.877440457301447,-0.265644694677888,0.534252396003145,"0","1","0","0","1","1","1","0","0","0",30000
2186,-0.593706977418389,0.127308610644889,-0.755098560908051,"0","0","1","0","1","1","1","0","0","0",5500
868,-0.111998479665616,-0.815779322129776,-0.452767991701288,"0","0","0","1","1","1","0","0","1","0",6646.56
1654,0.765485592873981,2.01348447619422,-0.720010430728937,"0","0","0","0","1","1","1","0","1","0",67000
1488,-0.612466981727856,-1.44450461064622,-0.443884808211948,"0","0","1","1","1","1","0","1","1","0",15000
1834,-0.635463116042687,0.598852577032221,-0.515110333486836,"0","0","1","1","1","1","1","1","0","0",20000
562,-0.428497907209209,-0.658598000000665,-0.462238052177912,"1","0","1","0","1","1","1","0","0","0",22227.79
17,0.242626117926249,0.598852577032221,0.14798063346368,"0","0","0","1","1","1","1","1","0","1",10000
1582,-0.6372786003307,0.598852577032221,-0.323601702045481,"0","0","0","0","1","1","1","0","0","0",14500
493,0.05139510625555,-1.28732328851711,-0.88417592980821,"1","0","1","0","1","1","0","0","0","0",5000
1541,-0.495065664436351,0.127308610644889,0.400871262529573,"0","0","1","1","0","1","1","0","0","0",7500
1062,-0.286890132744198,-0.344235355742444,-0.706192145301075,"0","0","1","0","1","1","1","0","0","0",13000
