"lt.convenio.df.tipo_de_abogado","lt.convenio.df.giro_empresa","lt.convenio.df.trab_base","lt.convenio.df.acci_on_principal","lt.convenio.df.causa","lt.convenio.df.sueldo_diario_integrado","lt.convenio.df.gen","lt.convenio.df.horas","lt.convenio.df.reinstalacion_t","lt.convenio.df.indem_const_t","lt.convenio.df.sal_caidos_t","lt.convenio.df.rec_hr_extra","lt.convenio.df.rec_20_d_ias_t","lt.convenio.df.sarimssinfo","lt.convenio.df.y","lt.convenio.df.cod_imss","lt.convenio.df.antig_anos","lt.convenio.df.id"
"0","5","0","1","0",303.66,"0",70,"1","0","1","0","0","0",20000,"1",5.87945205479452,127
"0","5","0","1","0",303.66,"0",70,"1","0","1","0","0","0",10000,"1",5.68767123287671,128
"0","2","0","2","0",250,"0",66,"0","1","1","1","0","1",15000,"1",2.14794520547945,132
"0","1","0","2","0",79,"1",46,"0","1","1","1","0","1",16000,"1",2.56164383561644,133
"1","1","0","2","0",133.59,"1",86.5,"0","1","1","0","0","0",10000,"1",21.7123287671233,134
"0","1","0","1","0",240.46,"1",54,"1","1","1","0","1","1",15200,"1",2.84109589041096,136
"0","3","1","2","0",460,"1",50,"0","1","1","1","0","0",37000,"1",1.42191780821918,138
"0","3","0","2","0",280,"0",60,"0","1","1","1","0","0",10000,"1",0.265753424657534,143
"0","7","0","2","0",154.33,"0",54,"0","1","1","1","0","0",16000,"1",7.8958904109589,144
"0","5","0","2","0",308.571428571429,"0",60,"0","1","1","1","0","1",13000,"1",6.14794520547945,145
"0","2","0","2","0",313.95,"0",60,"0","1","1","1","0","1",24000,"1",3.45753424657534,147
"0","2","0","1","0",588,"1",54,"1","1","1","1","1","1",60000,"1",6.0027397260274,148
"1","3","0","2","0",182.06,"0",50,"0","1","1","0","0","0",4500,"1",0.23013698630137,149
"0","1","0","1","0",435,"1",55,"1","0","0","1","0","1",7000,"1",1.21643835616438,151
"0","3","0","2","0",628.628571428571,"0",60,"0","1","1","1","0","1",23500,"1",1.75068493150685,152
"0","1","0","2","0",406,"0",60,"0","1","1","1","0","0",15000,"1",25.0027397260274,153
"1","1","0","2","0",154.7,"1",48,"0","1","1","0","0","0",10000,"1",5.04657534246575,154
"0","3","0","2","0",3500,"0",60,"0","1","1","1","0","0",11500,"1",1.1013698630137,157
"1","3","0","2","0",260.13,"1",45,"0","1","1","0","0","0",10000,"1",0.0438356164383562,159
"0","1","0","2","0",94.19,"1",48,"0","1","1","0","0","1",5800,"1",1.01643835616438,161
"0","1","1","2","0",666.666666666667,"0",50,"0","1","1","1","0","1",36000,"1",3.13150684931507,167
"0","8","0","2","1",220,"1",30,"0","1","0","0","0","1",3000,"1",0.0602739726027397,168
"0","7","0","2","0",272.586666666667,"0",60,"0","1","1","1","1","0",6200,"1",27.3534246575342,171
"0","5","0","2","0",200,"0",56,"0","1","1","1","0","0",12000,"1",1.16712328767123,172
"0","3","0","2","0",526.11,"0",42,"0","1","1","1","0","1",33000,"1",0.923287671232877,173
"0","2","1","1","0",1666.66,"0",50,"1","0","1","1","0","1",120000,"1",7.33424657534247,179
"0","3","0","2","0",324.94,"0",48,"0","1","1","0","0","0",30500,"1",7.96712328767123,180
"0","3","0","1","0",175,"1",51,"1","0","1","1","0","1",12500,"1",3.3041095890411,181
"0","3","0","1","0",290.36,"0",55,"1","0","1","1","0","1",35000,"1",4.34246575342466,184
"0","4","1","1","0",266.66,"0",47.5,"1","1","1","0","1","0",60000,"1",9.60547945205479,186
"0","3","0","2","0",191.11,"0",54,"0","1","1","0","0","0",10000,"1",0.536986301369863,187
"0","1","0","1","0",380,"1",66,"1","1","1","1","1","1",25000,"1",16.5315068493151,189
"0","3","0","1","0",695.85,"0",72,"1","1","1","0","1","1",69950,"1",6.64931506849315,195
"0","1","0","1","0",300,"1",42,"1","0","1","0","0","0",10000,"1",2.63287671232877,196
"0","1","0","2","0",150,"0",54,"0","1","1","1","0","1",9000,"1",4.38356164383562,198
"1","6","0","2","0",532.05,"0",50,"0","1","1","0","0","0",28542,"1",5.08767123287671,201
"0","5","0","1","0",500,"0",66,"1","0","1","1","0","0",14100,"1",7.41095890410959,202
"0","1","0","2","0",113.19,"1",66,"0","1","1","1","0","0",5000,"1",0.416438356164384,203
"0","7","0","1","0",153.333333333333,"0",54,"1","0","1","1","0","1",5000,"1",0.947945205479452,205
"0","1","0","1","0",942.09,"0",72,"1","0","1","1","0","1",13000,"1",0.646575342465753,206
"0","5","0","2","0",193.25,"1",51,"0","1","1","1","0","1",16072,"1",1.47945205479452,207
"0","1","0","2","0",86.6666666666667,"0",54,"0","1","1","1","0","0",9000,"1",1.51780821917808,208
"0","1","1","2","0",600,"1",60,"0","1","1","1","0","1",35000,"1",2.08767123287671,212
"0","7","0","2","0",251.820666666667,"1",46.5,"0","1","1","1","0","1",12000,"1",0.520547945205479,213
"1","3","0","2","0",189.88,"1",54,"0","1","1","1","0","0",5000,"1",0.158904109589041,217
"0","7","0","1","0",153.333333333333,"0",54,"1","0","1","1","0","1",5000,"1",1.41095890410959,219
"0","3","0","2","0",125.42,"0",66,"0","1","1","1","0","0",9000,"1",1.11232876712329,220
"0","7","0","1","0",341.7,"0",60,"1","1","1","1","1","0",30000,"1",9.4054794520548,222
"0","7","1","2","0",666.666666666667,"1",55,"0","1","1","1","0","1",45000,"1",0.698630136986301,223
"0","7","0","1","0",200,"1",55,"1","1","1","1","1","1",7500,"1",0.778082191780822,224
"0","3","0","2","0",280,"0",63,"0","1","1","1","0","0",9500,"1",1.39452054794521,225
"0","1","0","2","0",254.66,"1",52.5,"0","1","1","1","0","1",22445,"1",0.6,226
"0","3","1","2","0",1133.33333333333,"0",54,"0","1","1","0","0","0",12000,"1",1.13972602739726,227
"0","7","0","2","0",276.857142857143,"0",60,"0","1","1","1","0","0",7000,"1",0.550684931506849,229
"0","3","0","2","0",276.142857142857,"1",60,"0","1","1","1","0","0",14000,"1",0.991780821917808,230
"0","1","0","2","0",499.805714285714,"0",60,"0","1","1","1","0","0",14822.71,"1",2.32054794520548,231
"0","7","0","2","0",140.83,"0",52.5,"0","1","1","1","0","0",30593.06,"0",20.0739726027397,234
"0","2","0","1","0",378.83,"0",66,"1","1","1","1","1","1",16000,"0",0.241095890410959,235
"0","7","0","1","0",422.33,"1",70,"1","0","1","1","0","1",9000,"0",0.205479452054795,236
"0","7","0","1","0",461.17,"1",63,"1","1","1","1","1","1",15000,"0",1.5041095890411,237
"0","3","1","2","0",550,"0",60,"0","1","1","1","0","1",4000,"0",0.487671232876712,238
"0","7","0","2","0",200,"0",70.5,"0","1","1","0","1","1",20000,"0",3.06027397260274,240
"0","7","0","1","0",223.773333333333,"1",48,"1","1","1","1","1","0",10777.81,"0",0.989041095890411,241
"0","3","0","1","0",463.466666666667,"0",60,"1","1","1","1","1","0",50000,"0",1.64657534246575,242
"1","6","0","2","0",174.19,"0",47.5,"0","1","1","0","0","0",10000,"0",0.150684931506849,243
"1","1","0","2","0",119.43,"0",57,"0","1","1","0","0","0",5000,"0",0.457534246575342,244
"0","7","0","2","0",300.178,"1",60,"0","1","1","1","0","0",20000,"0",1.58356164383562,246
"0","7","0","1","0",133.333333333333,"0",45,"1","0","1","1","0","1",7500,"0",0.0876712328767123,248
"0","2","0","2","0",678.66,"0",60,"0","1","1","1","0","0",12000,"0",1.30958904109589,251
"0","2","0","2","0",2866.66666666667,"0",47.5,"0","1","1","0","0","0",250000,"0",2.75342465753425,252
"0","2","0","2","0",271.42,"0",72,"0","1","1","1","0","1",13400,"0",1.69041095890411,256
"0","3","0","1","0",530.178,"1",48,"1","0","1","1","0","1",13000,"0",0.572602739726027,258
"0","2","0","2","0",416.66,"0",60,"0","1","1","1","0","1",23000,"0",12.2767123287671,261
"0","7","0","1","0",126.666666666667,"1",77,"1","1","1","1","1","1",8500,"0",0.0767123287671233,267
"0","2","0","1","0",468.8,"0",72,"1","1","1","1","1","1",25000,"0",2.49315068493151,268
"0","4","0","2","0",144.285714285714,"0",42.5,"0","1","1","0","0","0",17000,"0",9.44931506849315,269
"0","3","0","2","0",550,"1",69,"0","1","1","1","0","1",11000,"0",2.16986301369863,271
"0","7","0","2","0",500,"1",72,"0","1","1","1","0","0",17000,"0",0.876712328767123,274
"0","5","0","2","0",223.541428571429,"0",108,"0","1","1","1","0","0",27000,"0",23.041095890411,278
"0","3","0","1","0",217.76,"0",48,"1","1","1","1","1","0",14000,"0",2.37808219178082,282
"0","2","0","1","0",335.16,"1",60,"1","0","1","1","0","1",15000,"0",0.350684931506849,283
"0","3","0","2","0",800,"0",50,"0","1","1","0","0","0",32000,"0",0.512328767123288,285
"0","1","0","1","0",193.72,"0",60,"1","1","1","1","1","1",78000,"0",32.1178082191781,286
"0","5","0","1","0",400,"0",60,"1","1","1","1","1","1",40000,"0",2.27397260273973,288
"0","1","0","1","0",345,"0",45,"1","0","1","0","0","0",50000,"0",15.5534246575342,289
"1","3","0","2","0",232.68,"0",42,"0","1","1","0","0","0",2000,"0",2.96712328767123,290
"1","3","0","2","0",243.32,"0",45,"0","1","1","0","0","0",13000,"0",4.49315068493151,291
"0","7","0","1","0",600,"0",60,"1","1","1","1","1","1",30000,"0",8.68219178082192,293
"1","1","0","2","0",317.5,"0",72,"0","1","1","0","0","0",70000.06,"0",16.5506849315069,296
"0","5","0","2","0",500,"0",91,"0","1","1","1","0","0",4000,"0",1.59452054794521,297
"0","2","0","1","0",279.07,"1",50,"1","0","1","1","0","1",15000,"0",1.40547945205479,301
"0","2","1","2","0",596.7,"0",60,"0","1","1","1","0","1",0,"0",1.28767123287671,303
"0","1","0","2","0",108.857142857143,"1",48,"0","1","1","1","0","0",22000,"0",2.24383561643836,307
"0","1","0","2","0",86.6666666666667,"1",54,"0","1","1","1","0","0",7500,"0",1.58630136986301,308
"0","1","0","2","0",450,"0",50,"0","1","1","0","1","0",40000,"0",10.9643835616438,312
"0","2","0","2","0",800,"0",63,"0","1","1","1","0","1",34229.08,"0",11.8986301369863,313
"0","3","1","1","0",901.94,"0",50,"1","1","1","1","1","0",438884.04,"0",14.8,314
"0","2","0","1","0",183.91,"0",50,"1","0","1","1","0","1",20000,"0",4.72876712328767,315
"0","10","0","2","0",193,"1",50,"0","1","1","1","0","0",23209.47,"0",4.46301369863014,317
"1","3","0","2","0",376.27,"0",48,"0","1","1","0","0","0",25740,"0",0.30958904109589,318
"0","8","0","1","0",500,"0",47.5,"1","1","1","0","0","0",30000,"0",0.257534246575342,319
"0","1","0","2","0",375,"0",72,"0","1","1","1","0","1",25000,"0",10.7068493150685,320
"0","1","0","2","0",375,"0",72,"0","1","1","1","0","1",25000,"0",10.7068493150685,325
"0","1","0","2","0",375,"0",72,"0","1","1","1","0","1",25000,"0",10.7068493150685,326
"0","1","0","2","0",83.61,"0",60,"0","1","1","1","0","1",7000,"0",1.24657534246575,329
"0","3","0","2","0",455.94,"0",54,"0","1","1","1","1","1",19136.68,"0",2.75342465753425,331
