"duracion_caducidad_train.id","duracion_caducidad_train.antig_anos","duracion_caducidad_train.horas","duracion_caducidad_train.sueldo_diario_integrado","duracion_caducidad_train.tipo_de_abogado","duracion_caducidad_train.trab_base","duracion_caducidad_train.gen","duracion_caducidad_train.reinstalacion_t","duracion_caducidad_train.indem_const_t","duracion_caducidad_train.rec_hr_extra","duracion_caducidad_train.rec_20_d_ias_t","duracion_caducidad_train.sarimssinfo","duracion_caducidad_train.cod_imss","duracion_caducidad_train.y"
972,-0.249494038387333,0.401943292512163,0.60423281327625,"0","0","1","0","1","1","0","0","0",0.336986301369863
896,-0.368008929075371,-0.263511297531703,-0.831036007296117,"0","0","0","0","1","0","0","0","0",0.345205479452055
559,0.314739897714414,0.0389680615791452,1.19119213572701,"0","0","1","1","0","1","0","1","0",1.61095890410959
367,0.0570988310012874,0.401943292512163,-0.447543453120273,"0","0","1","0","1","1","0","0","0",0.405479452054795
1721,-0.116808889030073,0.0389680615791452,-0.459527595438268,"0","0","0","0","1","0","0","0","0",1.12054794520548
1513,-0.278478658392559,-0.68698240028689,-0.327702029940322,"0","0","0","0","1","0","0","1","0",1.67945205479452
1627,-0.594088965116139,-0.324007169353872,-0.623326852640626,"0","0","0","0","1","1","0","1","0",1.67945205479452
417,-0.639820254457719,0.401943292512163,0.418430670778054,"0","1","0","1","1","1","1","1","0",1.76712328767123
1920,-0.383467393078158,2.76128229357678,0.565116572750314,"0","0","0","0","1","1","0","0","0",1.78356164383562
1477,0.0197408763278841,0.0389680615791452,-0.627317572032518,"0","0","0","0","1","1","0","0","0",2.81643835616438
2033,-0.378958674410679,0.401943292512163,-0.855004291932107,"0","0","0","0","1","1","1","1","0",1.24383561643836
