"estandarizados_duracion_desiste.id","estandarizados_duracion_desiste.antig_anos","estandarizados_duracion_desiste.horas","estandarizados_duracion_desiste.sueldo_diario_integrado","estandarizados_duracion_desiste.tipo_de_abogado","estandarizados_duracion_desiste.trab_base","estandarizados_duracion_desiste.gen","estandarizados_duracion_desiste.reinstalacion_t","estandarizados_duracion_desiste.indem_const_t","estandarizados_duracion_desiste.rec_hr_extra","estandarizados_duracion_desiste.rec_20_d_ias_t","estandarizados_duracion_desiste.sarimssinfo","estandarizados_duracion_desiste.cod_imss","estandarizados_duracion_desiste.y"
687,-0.68882898880081,-0.883521430337978,-0.242933909992998,"1","0","0","0","1","0","0","0","0",1.08767123287671
691,0.130861604956303,-0.408302700023124,-0.1886604554801,"1","0","0","0","1","0","0","0","0",0.205479452054795
694,-0.453496861943832,-0.408302700023124,-0.134356332222893,"0","0","1","0","1","0","0","1","0",0.8
695,-0.579603107137234,2.57878646195596,-0.223806836458691,"0","0","0","0","1","1","1","0","0",1.06301369863014
697,-0.728547491223929,-0.272525919933165,-0.254475580768108,"1","0","0","0","1","1","0","0","0",1.63561643835616
708,1.5234915961669,0.610023150651565,-0.223806836458691,"0","0","0","0","1","0","0","0","0",0.50958904109589
710,0.210298609802541,-0.00097235975324824,0.221615782976507,"0","0","0","1","1","1","1","1","0",0.520547945205479
712,-0.669962700149829,-2.03762406110262,-0.240848435379957,"0","0","1","0","1","0","0","0","0",0.175342465753425
713,-0.642656229733935,-1.01929821042794,-0.253688416330833,"0","0","1","0","1","1","0","1","0",0.0356164383561644
714,-0.498676658450129,1.1531302710114,0.923423993381045,"0","1","0","1","0","1","0","1","0",0.827397260273973
716,-0.602441246030527,2.03567934159613,-0.0589163326791124,"0","0","0","0","1","1","0","0","0",0.69041095890411
725,-0.589532732743013,1.62834900132625,-0.143485395112329,"0","0","1","0","1","1","0","0","0",0.30958904109589
730,-0.543856454956427,-0.00097235975324824,0.398809564681547,"0","0","0","0","1","1","0","1","0",0.246575342465753
735,-0.272281194638352,0.406357980516627,0.219182729261294,"0","0","0","0","1","1","0","0","0",0.515068493150685
744,-0.550310711600184,0.677911540696544,-0.231111109061718,"0","0","0","1","0","0","0","0","0",0.36986301369863
747,-0.386968370385108,-0.00097235975324824,-0.192126023587064,"1","0","0","0","1","0","0","0","0",0.172602739726027
750,-0.765287105965314,-0.0688607497982275,-0.223806836458691,"0","0","1","0","1","1","0","1","0",0.282191780821918
751,-0.740463041950865,-0.408302700023124,-0.244758700279408,"1","0","1","0","1","0","0","0","0",0.153424657534247
759,-0.621307534681508,-0.67985626020304,-0.283662002435903,"0","0","1","1","1","1","0","0","0",0.150684931506849
774,-0.672445106551274,-0.611967870158061,-0.230640854982307,"1","0","1","0","1","1","0","0","0",0.56986301369863
799,-0.221640104048876,0.610023150651565,-0.143485395112329,"0","0","1","0","1","1","0","1","0",0.832876712328767
805,-0.686346582399365,-1.69818211087773,-0.26726955860252,"0","0","0","0","1","0","0","0","0",2.11506849315069
817,-0.138727730240616,-0.67985626020304,-0.0875013061946171,"0","0","1","0","1","1","1","1","0",0.336986301369863
818,-0.459454637307299,-0.00097235975324824,0.0147244338651821,"0","0","1","0","1","1","1","1","0",1.14246575342466
823,0.639754917252512,0.202692810381689,0.375736446046096,"0","0","1","1","1","1","1","1","0",0.123287671232877
829,-0.5766242194555,-0.408302700023124,-0.241800870272678,"0","0","0","0","1","1","0","0","0",0.0876712328767123
832,-0.641166785893068,-0.00097235975324824,0.866635701834775,"0","1","0","0","1","0","0","1","0",0.10958904109589
834,2.39531272435436,1.01735349092144,-0.0464392652025647,"0","0","0","1","0","1","0","1","0",0.0273972602739726
840,-0.724575640981617,-0.00097235975324824,-0.25788321902471,"0","0","1","0","1","1","1","1","0",0.517808219178082
842,-0.384982445263952,1.22101866105638,0.138028120361192,"0","0","1","1","1","1","1","0","0",1.07123287671233
846,-0.0156003727289474,0.338469590471648,-0.165390180631231,"0","0","0","1","1","1","1","1","0",2.45753424657534
850,-0.493711845647239,-0.67985626020304,-0.231111109061718,"0","0","0","0","1","0","1","1","0",0.0301369863013699
851,0.124903829592835,0.610023150651565,-0.121577688760636,"0","0","0","0","1","1","0","0","0",0.512328767123288
867,-0.717128421777282,-0.00097235975324824,-0.172692262609664,"0","0","0","0","1","1","0","1","0",2.45479452054795
872,-0.608895502674284,-0.408302700023124,-0.159402473408916,"0","0","1","0","1","1","0","0","0",0.545205479452055
878,-0.741456004511443,3.52922392258567,-0.238415381664744,"0","0","0","0","1","1","0","1","0",1.02465753424658
880,-0.533926829350647,-0.408302700023124,-0.261928085635297,"1","0","0","0","1","0","0","0","0",0.758904109589041
886,0.779762638294006,-0.00097235975324824,-0.0704631149116078,"0","0","0","0","1","1","0","1","0",0.671232876712329
887,2.31637220078841,0.813688320786502,-0.136912060915344,"0","0","0","0","1","1","0","1","0",0.786301369863014
890,0.265408031914618,-0.272525919933165,-0.0704631149116078,"0","1","0","0","1","0","0","1","0",0.742465753424657
895,-0.00716019096403469,-0.67985626020304,-0.189730453892673,"0","0","0","1","0","1","0","0","0",0.238356164383562
901,1.78215834319747,0.202692810381689,0.270327971854631,"0","1","0","0","1","1","0","0","0",1.2027397260274
904,-0.697269170565723,-0.408302700023124,-0.21650767531305,"0","1","1","0","1","1","0","1","0",0.608219178082192
912,-0.0448927682659974,-1.01929821042794,-0.261120475368482,"0","0","1","0","1","1","0","1","0",1.28767123287671
