"d.laudo.pierde.df.tipo_de_abogado","d.laudo.pierde.df.giro_empresa","d.laudo.pierde.df.trab_base","d.laudo.pierde.df.acci_on_principal","d.laudo.pierde.df.causa","d.laudo.pierde.df.sueldo_diario_integrado","d.laudo.pierde.df.gen","d.laudo.pierde.df.horas","d.laudo.pierde.df.reinstalacion_t","d.laudo.pierde.df.indem_const_t","d.laudo.pierde.df.sal_caidos_t","d.laudo.pierde.df.rec_hr_extra","d.laudo.pierde.df.rec_20_d_ias_t","d.laudo.pierde.df.sarimssinfo","d.laudo.pierde.df.cod_imss","d.laudo.pierde.df.antig_anos","d.laudo.pierde.df.y","d.laudo.pierde.df.id"
"0","5","0","2","0",200,"0",102,"0","1","1","1","0","1","0",1.44109589,2.31780821917808,2433
"0","1","0","1","0",366.67,"1",45,"1","1","1","1","1","1","0",0.838356164,5.42191780821918,2434
"0","1","1","2","0",1746.8,"1",79.5,"0","1","1","0","0","1","0",4.361643836,5.58082191780822,2435
"0","2","0","2","0",297.62,"1",66,"0","1","1","1","0","0","0",0.169863014,5.55342465753425,2436
"0","3","0","2","0",141.85,"1",50,"0","1","1","1","0","0","0",2.767123288,6.00547945205479,2438
"0","1","0","2","0",150,"0",66,"0","1","1","1","0","0","0",0.871232877,5.91506849315068,2439
"0","4","0","2","0",103.36,"1",57,"0","1","1","1","0","1","0",1.183561644,5.03287671232877,2440
"0","1","0","2","0",213.33,"0",66,"0","1","1","1","0","1","0",1.084931507,1.57260273972603,2441
"0","5","0","2","0",571.42,"0",84,"0","1","1","1","0","0","0",1.18630137,2.26027397260274,2448
"0","5","0","2","0",140,"1",63,"0","1","1","1","0","1","0",1.668493151,1.80547945205479,2451
"0","7","0","2","0",250,"0",84,"0","1","1","0","0","1","0",6.712328767,2.63287671232877,2452
"0","1","0","2","0",373.21,"0",51,"0","1","1","1","0","1","0",2.61369863,3.46849315068493,2456
"0","7","0","1","0",500,"1",77,"1","1","1","1","0","0","0",2.317808219,4.19452054794521,2463
"0","8","0","2","0",466.66,"1",60,"0","1","1","1","0","0","0",0.463013699,3.33424657534247,2464
"0","4","0","2","0",142.85,"0",60,"0","1","1","1","0","0","0",34.67945205,2.0027397260274,2465
"0","5","0","2","0",642.86,"0",60,"0","1","1","1","0","1","0",23.16712329,2.20821917808219,2466
"0","7","0","2","0",271.43,"0",72,"0","1","1","1","0","0","0",4.276712329,3.85479452054795,2467
"0","5","0","1","0",884.68,"0",70,"1","1","1","1","1","0","0",0.156164384,2.66849315068493,2475
"0","1","0","2","0",850,"1",54,"0","1","1","1","0","0","0",3.15890411,3.38356164383562,2477
"0","1","0","2","0",342.85,"0",120,"0","1","1","1","0","1","0",0.936986301,5.01643835616438,2479
"0","7","0","2","0",300,"0",60,"0","1","1","1","0","0","0",4.063013699,5.42739726027397,2481
"0","7","0","2","0",361.43,"1",66,"0","1","1","0","0","0","0",0.410958904,6.77260273972603,2483
"1","3","0","2","0",156.78,"0",45,"0","1","1","0","0","0","0",0.38630137,5.31232876712329,2484
"1","5","0","2","0",147.47,"0",50,"0","1","1","0","0","0","0",19.3890411,2.37260273972603,2485
"0","4","0","2","0",2622.66,"0",56,"0","1","1","1","0","1","0",11.47945205,3.83561643835616,2486
"0","3","0","2","0",150,"1",60,"0","1","1","0","0","1","0",2.895890411,3.33424657534247,2487
"1","3","0","2","0",322.75,"1",47,"0","1","1","0","0","0","0",2.906849315,3.2986301369863,2488
"0","11","0","2","0",386,"0",46,"0","1","1","1","1","1","0",5.61369863,5.9041095890411,2489
"1","7","0","2","0",522.68,"0",54,"0","1","1","0","0","0","0",0.265753425,5.72328767123288,2490
"1","7","0","2","0",333.33,"1",54,"0","1","1","0","0","0","0",0.328767123,5.72328767123288,2491
"0","4","0","2","0",200,"0",72,"0","1","1","1","0","0","0",1.145205479,5.74246575342466,2492
"0","5","0","2","0",267,"0",48,"0","1","1","0","1","1","0",20.25205479,4.21369863013699,2494
"0","3","0","2","0",270,"0",45,"0","1","1","0","0","1","0",7.742465753,5.49041095890411,2495
"0","7","0","1","0",907.93,"0",58,"1","1","1","0","1","1","0",6.964383562,5.33698630136986,2496
"0","2","0","1","0",1900,"0",60,"1","1","1","1","0","0","0",0.424657534,3.86027397260274,2500
"0","7","0","2","0",358,"0",54,"0","1","1","0","1","0","0",12.28219178,4.78082191780822,2501
"0","6","0","2","0",500,"1",66,"0","1","1","0","0","1","0",2.019178082,3.6027397260274,2502
