"df.laudo.pierde.tipo_de_abogado","df.laudo.pierde.giro_empresa","df.laudo.pierde.trab_base","df.laudo.pierde.acci_on_principal","df.laudo.pierde.causa","df.laudo.pierde.sueldo_diario_integrado","df.laudo.pierde.gen","df.laudo.pierde.horas","df.laudo.pierde.reinstalacion_t","df.laudo.pierde.indem_const_t","df.laudo.pierde.sal_caidos_t","df.laudo.pierde.rec_hr_extra","df.laudo.pierde.rec_20_d_ias_t","df.laudo.pierde.sarimssinfo","df.laudo.pierde.cod_imss","df.laudo.pierde.antig_anos","df.laudo.pierde.id","df.laudo.pierde.y"
"0","2","0","1","0",600,"1",66,"1","1","1","1","1","1","0",1.098630137,2431,1
"0","2","0","1","0",350,"1",66,"1","1","1","1","1","1","0",1.112328767,2432,1
"0","5","0","2","0",200,"0",102,"0","1","1","1","0","1","0",1.44109589,2433,1
"0","1","0","1","0",366.67,"1",45,"1","1","1","1","1","1","0",0.838356164,2434,1
"0","1","1","2","0",1746.8,"1",79.5,"0","1","1","0","0","1","0",4.361643836,2435,1
"0","2","0","2","0",297.62,"1",66,"0","1","1","1","0","0","0",0.169863014,2436,1
"0","2","0","2","0",554,"1",60,"0","1","1","1","0","1","0",2.838356164,2437,0
"0","3","0","2","0",141.85,"1",50,"0","1","1","1","0","0","0",2.767123288,2438,1
"0","1","0","2","0",150,"0",66,"0","1","1","1","0","0","0",0.871232877,2439,1
"0","4","0","2","0",103.36,"1",57,"0","1","1","1","0","1","0",1.183561644,2440,1
"0","1","0","2","0",213.33,"0",66,"0","1","1","1","0","1","0",1.084931507,2441,1
"0","7","0","2","1",785.83,"0",50,"0","1","1","1","1","1","0",10.48767123,2442,0
"0","2","0","2","0",600,"0",60,"0","1","1","1","0","1","0",6.046575342,2443,0
"0","7","0","2","0",166.66,"0",57,"0","1","1","1","0","0","0",1.093150685,2444,0
"0","7","0","2","0",228.83,"0",55,"0","1","1","1","0","0","0",1.134246575,2445,0
"0","5","0","1","0",400,"0",57,"1","0","1","1","0","1","0",0.939726027,2446,0
"0","3","0","1","0",366.67,"0",72,"1","0","0","1","0","1","0",0.17260274,2447,0
"0","5","0","2","0",571.42,"0",84,"0","1","1","1","0","0","0",1.18630137,2448,1
"0","1","0","2","0",417.52,"1",60,"0","1","1","1","0","0","0",6.454794521,2449,0
"0","6","0","1","0",600,"1",60,"1","1","1","1","1","0","0",0.065753425,2450,0
"0","5","0","2","0",140,"1",63,"0","1","1","1","0","1","0",1.668493151,2451,1
"0","7","0","2","0",250,"0",84,"0","1","1","0","0","1","0",6.712328767,2452,1
"0","2","1","2","0",500,"0",60,"0","1","1","1","0","0","0",1.720547945,2453,0
"0","7","1","2","0",2239.99,"1",96,"0","1","1","1","0","0","0",3.934246575,2454,0
"0","7","0","2","0",333.33,"1",48,"0","1","1","1","0","0","0",1.336986301,2455,0
"0","1","0","2","0",373.21,"0",51,"0","1","1","1","0","1","0",2.61369863,2456,1
"0","1","1","1","0",550.4,"0",60,"1","0","1","1","1","1","0",3.939726027,2457,0
"0","2","0","2","0",133.34,"1",45,"0","1","1","1","0","1","0",1.016438356,2458,0
"1","1","0","2","0",213,"0",50,"0","1","1","0","0","0","0",6.789041096,2460,0
"0","2","0","2","0",487.13,"1",48,"0","1","1","0","0","0","0",6.780821918,2461,0
"0","6","0","1","0",800,"1",60,"1","0","1","0","0","0","0",11.40273973,2462,0
"0","7","0","1","0",500,"1",77,"1","1","1","1","0","0","0",2.317808219,2463,1
"0","8","0","2","0",466.66,"1",60,"0","1","1","1","0","0","0",0.463013699,2464,1
"0","4","0","2","0",142.85,"0",60,"0","1","1","1","0","0","0",34.67945205,2465,1
"0","5","0","2","0",642.86,"0",60,"0","1","1","1","0","1","0",23.16712329,2466,1
"0","7","0","2","0",271.43,"0",72,"0","1","1","1","0","0","0",4.276712329,2467,1
"0","3","0","2","0",450,"0",72,"0","1","1","1","0","0","0",2.936986301,2468,0
"1","8","0","2","0",240.39,"1",50,"0","1","1","0","0","0","0",0.115068493,2469,0
"0","1","0","2","0",500,"1",66,"0","1","1","1","0","0","0",17.37808219,2470,0
"0","7","0","1","0",931.67,"0",45,"1","0","1","0","0","0","0",4.704109589,2471,0
"1","3","0","2","0",419.16,"0",60,"0","1","1","0","0","0","0",3.764383562,2472,0
"0","2","0","2","0",312.67,"1",66,"0","1","1","1","0","0","0",10.74520548,2473,0
"0","7","1","1","0",800,"0",51,"1","0","1","1","0","1","0",3.169863014,2474,0
"0","5","0","1","0",884.68,"0",70,"1","1","1","1","1","0","0",0.156164384,2475,1
"0","7","0","1","0",260.56,"0",55,"1","1","1","0","1","0","0",4,2476,0
