"estandarizados_duracion_convenio.id","estandarizados_duracion_convenio.antig_anos","estandarizados_duracion_convenio.horas","estandarizados_duracion_convenio.sueldo_diario_integrado","estandarizados_duracion_convenio.tipo_de_abogado","estandarizados_duracion_convenio.trab_base","estandarizados_duracion_convenio.gen","estandarizados_duracion_convenio.reinstalacion_t","estandarizados_duracion_convenio.indem_const_t","estandarizados_duracion_convenio.sal_caidos_t","estandarizados_duracion_convenio.rec_hr_extra","estandarizados_duracion_convenio.rec_20_d_ias_t","estandarizados_duracion_convenio.sarimssinfo","estandarizados_duracion_convenio.cod_imss","estandarizados_duracion_convenio.y"
236,-0.75218263840419,0.909531993876,-0.0259610888548121,"0","0","1","1","0","1","1","0","1","0",0.69041095890411
237,-0.461544733498727,0.360730447883712,0.0477075958169627,"0","0","1","1","1","1","1","1","1","0",0.70958904109589
240,-0.113269775721716,0.948732104304021,-0.447659303661086,"0","0","0","0","1","1","0","1","1","0",0.978082191780822
241,-0.576818839241822,-0.815272864956907,-0.402567897972869,"0","0","1","1","1","1","1","1","0","0",0.202739726027397
242,-0.429660406378296,0.125529785315588,0.0520637341398988,"0","0","0","1","1","1","1","1","0","0",0.947945205479452
243,-0.764445841142817,-0.854472975384927,-0.496613699937566,"1","0","0","0","1","1","0","0","0","0",2.94520547945205
244,-0.695771905806506,-0.109670877252536,-0.60047819974772,"1","0","0","0","1","1","0","0","0","0",0.657534246575342
246,-0.443763089527718,0.125529785315588,-0.257649481491955,"0","0","1","0","1","1","1","0","0","0",1.4958904109589
248,-0.778548524292239,-1.05047352752503,-0.574107440756477,"0","0","0","1","0","1","1","0","1","0",0.334246575342466
251,-0.505079103220853,0.125529785315588,0.460225675870111,"0","0","0","0","1","1","1","0","0","0",1.61643835616438
252,-0.181943711058028,-0.854472975384927,4.61026618015455,"0","0","0","0","1","1","0","0","0","0",1.41095890410959
256,-0.419849844187395,1.06633243558808,-0.312195414390793,"0","0","0","0","1","1","1","0","1","0",0.202739726027397
258,-0.670019180055389,-0.815272864956907,0.178596591487144,"0","0","1","1","0","1","1","0","1","0",0.495890410958904
261,1.94940092491537,0.125529785315588,-0.036715502914775,"0","0","0","0","1","1","1","0","1","0",2.19452054794521
267,-0.781001164839964,1.45833353986829,-0.586752254466016,"0","0","1","1","1","1","1","1","1","0",0.334246575342466
268,-0.240193924066507,1.06633243558808,0.0621795851075302,"0","0","0","1","1","1","1","1","1","0",0.654794520547945
269,1.31661966360221,-1.24647407966513,-0.553333818233662,"0","0","0","0","1","1","0","0","0","0",1.38904109589041
271,-0.312546820224407,0.831131773019959,0.216193416089716,"0","0","1","0","1","1","1","0","1","0",0.728767123287671
274,-0.601958404856008,1.06633243558808,0.121357313268173,"0","0","1","0","1","1","1","0","0","0",0.772602739726027
278,4.35850710291867,3.88874038640557,-0.403007756849765,"0","0","0","0","1","1","1","0","0","0",1.91232876712329
282,-0.265946649817624,-0.815272864956907,-0.413973519938874,"0","0","0","1","1","1","1","1","0","0",0.679452054794521
283,-0.719685151146829,0.125529785315588,-0.19129835051389,"0","0","1","1","0","1","1","0","1","0",1.04931506849315
285,-0.683508703067878,-0.658472423244824,0.690373930197432,"0","0","0","0","1","1","0","0","0","0",1.44109589041096
288,-0.289246735021016,0.125529785315588,-0.0683148923749132,"0","0","0","1","1","1","1","1","1","0",1.76164383561644
289,2.68274044868527,-1.05047352752503,-0.172634605478611,"0","0","0","1","0","1","0","0","0","0",0.783561643835616
